"","date","england_new_deaths","england_seven_day_average","wales_new_deaths","wales_seven_day_average","scotland_new_deaths","scotland_seven_day_average","northern_ireland_new_deaths","northern_ireland_seven_day_average"
"167","2020-08-31",8,8.42857142857143,2,0.285714285714286,0,0.142857142857143,0,0.285714285714286
"168","2020-09-01",4,7.42857142857143,0,0.285714285714286,0,0.142857142857143,1,0.285714285714286
"169","2020-09-02",9,7.14285714285714,0,0.285714285714286,1,0.285714285714286,0,0.285714285714286
"170","2020-09-03",6,6.71428571428571,1,0.428571428571429,1,0.428571428571429,2,0.571428571428571
"171","2020-09-04",8,6.57142857142857,0,0.428571428571429,1,0.428571428571429,0,0.428571428571429
"172","2020-09-05",12,7.57142857142857,0,0.428571428571429,0,0.428571428571429,1,0.571428571428571
"173","2020-09-06",9,8,0,0.428571428571429,0,0.428571428571429,0,0.571428571428571
"174","2020-09-07",13,8.71428571428571,0,0.142857142857143,0,0.428571428571429,2,0.857142857142857
"175","2020-09-08",10,9.57142857142857,0,0.142857142857143,0,0.428571428571429,0,0.714285714285714
"176","2020-09-09",10,9.71428571428571,0,0.142857142857143,0,0.285714285714286,0,0.714285714285714
"177","2020-09-10",12,10.5714285714286,0,0,0,0.142857142857143,1,0.571428571428571
"178","2020-09-11",10,10.8571428571429,1,0.142857142857143,0,0,2,0.857142857142857
"179","2020-09-12",18,11.7142857142857,0,0.142857142857143,0,0,0,0.714285714285714
"180","2020-09-13",15,12.5714285714286,1,0.285714285714286,1,0.142857142857143,0,0.714285714285714
"181","2020-09-14",17,13.1428571428571,0,0.285714285714286,3,0.571428571428571,1,0.571428571428571
"182","2020-09-15",15,13.8571428571429,2,0.571428571428571,0,0.571428571428571,1,0.714285714285714
"183","2020-09-16",23,15.7142857142857,2,0.857142857142857,0,0.571428571428571,2,1
"184","2020-09-17",25,17.5714285714286,2,1.14285714285714,1,0.714285714285714,0,0.857142857142857
"185","2020-09-18",21,19.1428571428571,0,1,2,1,1,0.714285714285714
"186","2020-09-19",18,19.1428571428571,0,1,0,1,2,1
"187","2020-09-20",28,21,1,1,3,1.28571428571429,0,1
"188","2020-09-21",24,22,1,1.14285714285714,2,1.14285714285714,0,0.857142857142857
"189","2020-09-22",35,24.8571428571429,3,1.28571428571429,2,1.42857142857143,0,0.714285714285714
"190","2020-09-23",52,29,3,1.42857142857143,3,1.85714285714286,0,0.428571428571429
"191","2020-09-24",33,30.1428571428571,0,1.14285714285714,2,2,0,0.428571428571429
"192","2020-09-25",30,31.4285714285714,1,1.28571428571429,1,1.85714285714286,1,0.428571428571429
"193","2020-09-26",35,33.8571428571429,2,1.57142857142857,2,2.14285714285714,0,0.142857142857143
"194","2020-09-27",44,36.1428571428571,3,1.85714285714286,2,2,0,0.142857142857143
"195","2020-09-28",47,39.4285714285714,3,2.14285714285714,3,2.14285714285714,1,0.285714285714286
"196","2020-09-29",43,40.5714285714286,4,2.28571428571429,1,2,0,0.285714285714286
"197","2020-09-30",48,40,4,2.42857142857143,4,2.14285714285714,1,0.428571428571429
"198","2020-10-01",56,43.2857142857143,5,3.14285714285714,5,2.57142857142857,1,0.571428571428571
"199","2020-10-02",65,48.2857142857143,2,3.28571428571429,1,2.57142857142857,2,0.714285714285714
"200","2020-10-03",55,51.1428571428571,8,4.14285714285714,3,2.71428571428571,1,0.857142857142857
"201","2020-10-04",54,52.5714285714286,3,4.14285714285714,3,2.85714285714286,0,0.857142857142857
"202","2020-10-05",59,54.2857142857143,10,5.14285714285714,2,2.71428571428571,1,0.857142857142857
"203","2020-10-06",62,57,4,5.14285714285714,4,3.14285714285714,1,1
"204","2020-10-07",81,61.7142857142857,11,6.14285714285714,9,3.85714285714286,1,1
"205","2020-10-08",78,64.8571428571429,6,6.28571428571429,11,4.71428571428571,0,0.857142857142857
"206","2020-10-09",68,65.2857142857143,6,6.85714285714286,6,5.42857142857143,0,0.571428571428571
