"","date","england_daily_cases","england_seven_day_average","wales_daily_cases","wales_seven_day_average","scotland_new_cases","scotland_seven_day_average","northern_ireland_new_cases","northern_ireland_seven_day_average"
"165","2020-08-17",634,974.714285714286,14,16.1428571428571,26,47.2857142857143,39,41.4285714285714
"166","2020-08-18",975,966.142857142857,24,17.7142857142857,49,46.8571428571429,41,40.4285714285714
"167","2020-08-19",707,935,21,19.5714285714286,50,47.2857142857143,34,41.1428571428571
"168","2020-08-20",1035,931.571428571429,19,20.1428571428571,77,51.5714285714286,51,47.2857142857143
"169","2020-08-21",908,877.857142857143,34,22.4285714285714,71,52.4285714285714,20,39.5714285714286
"170","2020-08-22",1060,895.857142857143,34,23.4285714285714,123,62.7142857142857,71,40.4285714285714
"171","2020-08-23",938,893.857142857143,20,23.7142857142857,83,68.4285714285714,119,53.5714285714286
"172","2020-08-24",758,911.571428571429,19,24.4285714285714,66,74.1428571428571,10,49.4285714285714
"173","2020-08-25",1065,924.428571428571,28,25,44,73.4285714285714,47,50.2857142857143
"174","2020-08-26",875,948.428571428571,34,26.8571428571429,67,75.8571428571429,72,55.7142857142857
"175","2020-08-27",1350,993.428571428571,35,29.1428571428571,68,74.5714285714286,69,58.2857142857143
"176","2020-08-28",1106,1021.71428571429,34,29.1428571428571,51,71.7142857142857,85,67.5714285714286
"177","2020-08-29",891,997.571428571429,40,30,88,66.7142857142857,89,70.1428571428571
"178","2020-08-30",1487,1076,56,35.1428571428571,123,72.4285714285714,49,60.1428571428571
"179","2020-08-31",1149,1131.85714285714,39,38,160,85.8571428571429,58,67
"180","2020-09-01",1041,1128.42857142857,51,41.2857142857143,154,101.571428571429,49,67.2857142857143
"181","2020-09-02",1239,1180.42857142857,42,42.4285714285714,156,114.285714285714,71,67.1428571428571
"182","2020-09-03",1507,1202.85714285714,50,44.5714285714286,101,119,77,68.2857142857143
"183","2020-09-04",1669,1283.28571428571,51,47,159,134.428571428571,61,64.8571428571429
"184","2020-09-05",1477,1367,77,52.2857142857143,141,142,118,69
"185","2020-09-06",2576,1522.57142857143,98,58.2857142857143,208,154.142857142857,106,77.1428571428571
"186","2020-09-07",2528,1719.57142857143,133,71.7142857142857,146,152.142857142857,141,89
"187","2020-09-08",2094,1870,150,85.8571428571429,176,155.285714285714,40,87.7142857142857
"188","2020-09-09",2286,2019.57142857143,165,103.428571428571,159,155.714285714286,49,84.5714285714286
"189","2020-09-10",2578,2172.57142857143,102,110.857142857143,161,164.285714285714,78,84.7142857142857
"190","2020-09-11",3143,2383.14285714286,133,122.571428571429,175,166.571428571429,88,88.5714285714286
"191","2020-09-12",3008,2601.85714285714,164,135,221,178,104,86.5714285714286
"192","2020-09-13",2837,2639.14285714286,162,144.142857142857,244,183.142857142857,87,83.8571428571429
"193","2020-09-14",2259,2600.71428571429,183,151.285714285714,70,172.285714285714,109,79.2857142857143
"194","2020-09-15",2649,2680,110,145.571428571429,267,185.285714285714,79,84.8571428571429
"195","2020-09-16",3396,2838.57142857143,199,150.428571428571,267,200.714285714286,129,96.2857142857143
"196","2020-09-17",2788,2868.57142857143,168,159.857142857143,290,219.142857142857,149,106.428571428571
"197","2020-09-18",3771,2958.28571428571,185,167.285714285714,203,223.142857142857,163,117.142857142857
"198","2020-09-19",3638,3048.28571428571,212,174.142857142857,350,241.571428571429,222,134
"199","2020-09-20",3279,3111.42857142857,199,179.428571428571,245,241.714285714286,176,146.714285714286
"200","2020-09-21",3754,3325,234,186.714285714286,255,268.142857142857,125,149
"201","2020-09-22",4187,3544.71428571429,281,211.142857142857,383,284.714285714286,75,148.428571428571
"202","2020-09-23",5083,3785.71428571429,389,238.285714285714,486,316,220,161.428571428571
"203","2020-09-24",5632,4192,348,264,465,341,189,167.142857142857
"204","2020-09-25",5723,4470.85714285714,320,283.285714285714,558,391.714285714286,273,182.857142857143
"205","2020-09-26",4639,4613.85714285714,370,305.857142857143,714,443.714285714286,319,196.714285714286
"206","2020-09-27",4800,4831.14285714286,362,329.142857142857,344,457.857142857143,187,198.285714285714
"207","2020-09-28",3316,4768.57142857143,286,336.571428571429,222,453.142857142857,220,211.857142857143
"208","2020-09-29",5651,4977.71428571429,366,348.714285714286,806,513.571428571429,320,246.857142857143
"209","2020-09-30",5656,5059.57142857143,388,348.571428571429,640,535.571428571429,424,276
"210","2020-10-01",5589,5053.42857142857,398,355.714285714286,668,564.571428571429,259,286
"211","2020-10-02",4797,4921.14285714286,462,376,775,595.571428571429,934,380.428571428571
"212","2020-10-03",10806,5802.14285714286,576,405.428571428571,764,602.714285714286,726,438.571428571429
"213","2020-10-04",21309,8160.57142857143,432,415.428571428571,758,661.857142857143,462,477.857142857143
"214","2020-10-05",10685,9213.28571428571,596,459.714285714286,697,729.714285714286,616,534.428571428571
"215","2020-10-06",12648,10212.8571428571,425,468.142857142857,800,728.857142857143,669,584.285714285714
"216","2020-10-07",11528,11051.7142857143,752,520.142857142857,1054,788,828,642
"217","2020-10-08",14952,12389.2857142857,638,554.428571428571,1027,839.285714285714,923,736.857142857143
"218","2020-10-09",10772,13242.8571428571,766,597.857142857143,1246,906.571428571429,1080,757.714285714286
"219","2020-10-10",12628,13503.1428571429,627,605.142857142857,1009,941.571428571429,902,782.857142857143
"220","2020-10-11",10383,11942.2857142857,467,610.142857142857,956,969.857142857143,1066,869.142857142857
"221","2020-10-12",11647,12079.7142857143,487,594.571428571429,961,1007.57142857143,877,906.428571428571
"222","2020-10-13",14310,12317.1428571429,764,643,1297,1078.57142857143,863,934.142857142857
"223","2020-10-14",16132,12974.8571428571,946,670.714285714286,1429,1132.14285714286,1217,989.714285714286
"224","2020-10-15",16139,13144.4285714286,727,683.428571428571,1351,1178.42857142857,763,966.857142857143
"225","2020-10-16",12176,13345,979,713.857142857143,1196,1171.28571428571,1299,998.142857142857
"226","2020-10-17",13299,13440.8571428571,674,720.571428571429,1167,1193.85714285714,1031,1016.57142857143
"227","2020-10-18",14704,14058.1428571429,950,789.571428571429,316,1102.42857142857,1012,1008.85714285714
"228","2020-10-19",16365,14732.1428571429,626,809.428571428571,993,1107,820,1000.71428571429
"229","2020-10-20",17814,15232.7142857143,1148,864.285714285714,1456,1129.71428571429,913,1007.85714285714
"230","2020-10-21",22948,16206.4285714286,962,866.571428571429,1739,1174,1039,982.428571428571
"231","2020-10-22",17354,16380,1134,924.714285714286,1712,1225.57142857143,1042,1022.28571428571
"232","2020-10-23",17116,17085.7142857143,761,893.571428571429,1401,1254.85714285714,1252,1015.57142857143
"233","2020-10-24",19332,17947.5714285714,1324,986.428571428571,1433,1292.85714285714,923,1000.14285714286
"234","2020-10-25",16487,18202.2857142857,1104,1008.42857142857,1303,1433.85714285714,896,983.571428571429
"235","2020-10-26",17883,18419.1428571429,1158,1084.42857142857,1122,1452.28571428571,727,970.285714285714
"236","2020-10-27",19629,18678.4285714286,1207,1092.85714285714,1327,1433.85714285714,722,943
"237","2020-10-28",21245,18435.1428571429,1414,1157.42857142857,1202,1357.14285714286,840,914.571428571429
"238","2020-10-29",19740,18776,1375,1191.85714285714,1128,1273.71428571429,822,883.142857142857
"239","2020-10-30",20821,19305.2857142857,1737,1331.28571428571,1281,1256.57142857143,566,785.142857142857
"240","2020-10-31",18864,19238.4285714286,1301,1328,1101,1209.14285714286,649,746
"241","2020-11-01",20602,19826.2857142857,819,1287.28571428571,1148,1187,685,715.857142857143
"242","2020-11-02",15860,19537.2857142857,1646,1357,951,1162.57142857143,493,682.428571428571
"243","2020-11-03",17330,19208.8571428571,1119,1344.42857142857,999,1115.71428571429,570,660.714285714286
"244","2020-11-04",21863,19297.1428571429,1202,1314.14285714286,1433,1148.71428571429,679,637.714285714286
"245","2020-11-05",21137,19496.7142857143,1272,1299.42857142857,1216,1161.28571428571,516,594
"246","2020-11-06",20268,19417.7142857143,1352,1244.42857142857,1072,1131.42857142857,595,598.142857142857
"247","2020-11-07",21875,19847.8571428571,958,1195.42857142857,1596,1202.14285714286,528,580.857142857143
"248","2020-11-08",18293,19518,744,1184.71428571429,1115,1197.42857142857,420,543
"249","2020-11-09",19036,19971.7142857143,931,1082.57142857143,912,1191.85714285714,471,539.857142857143
"250","2020-11-10",18622,20156.2857142857,444,986.142857142857,832,1168,514,531.857142857143
"251","2020-11-11",19970,19885.8571428571,928,947,1261,1143.42857142857,791,547.857142857143
"252","2020-11-12",30843,21272.4285714286,867,889.142857142857,1212,1142.85714285714,548,552.428571428571
"253","2020-11-13",24540,21882.7142857143,797,809.857142857143,1357,1183.57142857143,607,554.142857142857
"254","2020-11-14",24298,22228.8571428571,933,806.285714285714,1118,1115.28571428571,511,551.714285714286
"255","2020-11-15",21998,22758.1428571429,1333,890.428571428571,1159,1121.57142857143,472,559.142857142857
"256","2020-11-16",19423,22813.4285714286,892,884.857142857143,717,1093.71428571429,331,539.142857142857
"257","2020-11-17",17549,22660.1428571429,705,922.142857142857,1248,1153.14285714286,549,544.142857142857
"258","2020-11-18",17189,22262.8571428571,638,880.714285714286,1264,1153.57142857143,518,505.142857142857
"259","2020-11-19",20291,20755.4285714286,1048,906.571428571429,1089,1136,487,496.428571428571
"260","2020-11-20",17845,19799,1020,938.428571428571,1018,1087.57142857143,369,462.428571428571
"261","2020-11-21",17615,18844.2857142857,1016,950.285714285714,887,1054.57142857143,357,440.428571428571
"262","2020-11-22",16668,18082.8571428571,808,875.285714285714,844,1009.57142857143,342,421.857142857143
"263","2020-11-23",13329,17212.2857142857,892,875.285714285714,949,1042.71428571429,280,414.571428571429
"264","2020-11-24",9854,16113,595,859.571428571429,771,974.571428571429,79,347.428571428571
"265","2020-11-25",15893,15927.8571428571,907,898,880,919.714285714286,533,349.571428571429
